transaction_amount,location,customer_id,transaction_time,device_type,is_fraud
3746.0266483547775,55,257,12,tablet,0
9507.192349792751,96,940,17,tablet,0
7320.207424172239,36,57,21,mobile,0
5986.986183486169,37,9,13,mobile,0
1561.0303857839228,14,5,17,desktop,0
1560.7892088416902,27,847,2,desktop,0
581.7780380698264,83,114,16,mobile,0
8661.895281603576,31,777,18,desktop,1
6011.549002420345,73,685,6,desktop,0
7081.017705382659,81,732,20,desktop,0
206.82435846372866,83,205,3,mobile,0
9699.128611767781,44,24,14,tablet,1
8324.593965363418,68,493,23,tablet,0
2124.1787676720833,48,970,7,mobile,0
1819.067847103799,57,682,15,mobile,0
1834.8616940244847,75,406,0,desktop,0
3043.118187352418,22,103,15,mobile,0
5248.039559890746,4,60,1,mobile,0
4320.018241402516,81,86,1,mobile,0
2913.0001728402212,72,767,7,mobile,0
6118.917094329072,46,677,11,desktop,0
1395.7991126597663,59,372,10,desktop,0
2922.1543407036465,34,679,5,mobile,0
3664.2520710936233,11,596,18,mobile,0
4561.243772186142,31,970,17,tablet,0
7851.974437968743,11,202,4,tablet,0
1997.538147801439,56,602,14,mobile,0
5142.830149697703,38,89,7,tablet,0
5924.553274051563,21,437,5,tablet,0
465.45767678725724,94,120,11,desktop,0
6075.840974162482,10,156,18,desktop,0
1706.070712749228,26,973,11,desktop,0
651.4508782598099,91,399,11,tablet,0
9488.906486996078,8,700,8,mobile,0
9656.35469871252,8,188,23,desktop,0
8084.165083816495,60,774,9,tablet,0
3046.8330779645335,72,52,21,mobile,0
977.6234679498323,34,652,16,desktop,0
6842.646032095056,16,531,17,tablet,0
4402.084784902273,13,480,15,desktop,0
1221.2603102129435,87,587,3,tablet,0
4952.273924202591,76,230,17,desktop,0
344.85082263106875,91,481,2,tablet,0
9093.294700385743,22,130,15,mobile,0
2588.5410360185692,96,55,13,desktop,0
6625.560321255466,27,271,23,desktop,0
3117.79904981802,64,960,8,tablet,0
5201.160143756931,2,100,5,mobile,0
5467.556083153453,97,69,3,mobile,0
1849.3597007997448,26,911,1,desktop,0
9695.87669301782,92,299,22,tablet,0
7751.553100787784,83,970,9,desktop,0
9395.049916700327,69,529,10,tablet,0
8948.37867692606,97,354,6,mobile,0
5979.401888132041,84,628,4,desktop,0
9218.820475996145,30,152,3,tablet,0
885.836528017143,8,330,5,mobile,0
1960.6326413290328,38,116,1,tablet,0
453.2276618164701,61,542,1,desktop,0
3253.97797730188,81,323,15,tablet,0
3887.3842196051305,65,563,22,desktop,0
2714.218968707185,67,572,22,mobile,0
8287.546354010141,46,229,12,tablet,0
3568.176513609199,90,771,20,mobile,0
2810.0641623641204,95,360,6,mobile,0
5427.418135499326,72,5,4,desktop,0
1410.1013255226517,43,28,16,desktop,0
8022.1676105596425,59,766,12,mobile,0
746.4318861540285,46,364,14,desktop,1
9868.882479068572,72,462,2,mobile,0
7722.675448197278,35,231,22,desktop,0
1987.9580996601899,39,395,3,desktop,0
56.21564911890039,92,968,14,tablet,0
8154.798823119887,51,869,17,tablet,0
7068.8665811323235,4,712,2,desktop,0
7290.342673241832,80,844,6,mobile,0
7712.932196512771,77,271,7,mobile,0
741.3724726891695,84,851,10,mobile,0
3585.2988197141817,51,304,21,desktop,0
1159.574726191772,5,383,8,desktop,0
8631.17115533006,55,558,19,mobile,0
6233.3579701487515,20,28,11,tablet,0
3309.649350501639,24,519,4,tablet,0
636.5199445099503,36,744,0,mobile,0
3110.5122348349064,34,199,13,desktop,0
3252.5080369454436,54,606,2,desktop,0
7296.332177202303,34,82,14,mobile,0
6375.937156080776,83,88,9,tablet,0
8872.240213020688,17,390,9,mobile,1
4722.677036694331,5,698,23,mobile,0
1196.8228651370787,89,755,2,mobile,0
7132.734627442727,18,580,5,tablet,0
7608.089701120358,55,823,4,mobile,0
5613.2106984973925,53,451,23,tablet,0
7709.900832365655,50,433,18,desktop,0
4938.462168047543,72,374,13,tablet,0
5227.805560990559,91,435,16,tablet,0
